Occupation_sleep,Corresponding Occupation_job
Engineer,Mechanical Engineers
Engineer,"Mining and Geological Engineers, Including Mining Safety Engineers"
Engineer,Miscellaneous Engineers
Engineer,Nuclear Engineers
Engineer,Operating Engineers and Other Construction Equipment Operators
Engineer,Petroleum Engineers
Engineer,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
Engineer,Sales Engineers
Engineer,Ship Engineers
Engineer,Sound Engineering Technicians
Engineer,Stationary Engineers and Boiler Operators
Lawyer,Lawyers
Lawyer,Lawyers and Judicial Law Clerks
Lawyer,"Lawyers, Judges, and Related Workers"
Manager,Administrative Services and Facilities Managers
Manager,Administrative Services Managers
Manager,Advertising and Promotions Managers
Manager,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Manager,"Agents and Business Managers of Artists, Performers, and Athletes"
Manager,Architectural and Engineering Managers
Manager,Compensation and Benefits Managers
Manager,Computer and Information Systems Managers
Manager,Construction Managers
Manager,Entertainment and Recreation Managers
Manager,"Entertainment and Recreation Managers, Except Gambling"
Manager,Facilities Managers
Manager,"Farmers, Ranchers, and Other Agricultural Managers"
Manager,Financial Managers
Manager,Food Service Managers
Manager,Fundraising Managers
Manager,Funeral Home Managers
Manager,Gambling Managers
Manager,General and Operations Managers
Manager,Human Resources Managers
Manager,Industrial Production Managers
Manager,Lodging Managers
Manager,"Managers, All Other"
Manager,Marketing and Sales Managers
Manager,Marketing Managers
Manager,Medical and Health Services Managers
Manager,Miscellaneous Managers
Manager,Natural Sciences Managers
Manager,Operations Specialties Managers
Manager,Personal Service Managers
Manager,"Personal Service Managers, All Other"
Manager,"Property, Real Estate, and Community Association Managers"
Manager,Public Relations and Fundraising Managers
Manager,Public Relations Managers
Manager,Purchasing Managers
Manager,Sales Managers
Manager,Social and Community Service Managers
Manager,Training and Development Managers
Manager,"Transportation, Storage, and Distribution Managers"
Nurse,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
Nurse,Licensed Practical and Licensed Vocational Nurses
Nurse,Nurse Anesthetists
Nurse,Nurse Midwives
Nurse,Nurse Practitioners
Nurse,Registered Nurses
Sales Representative,"Miscellaneous Sales Representatives, Services"
Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
Sales Representative,"Sales Representatives, Services"
Sales Representative,"Sales Representatives, Wholesale and Manufacturing"
Sales Representative,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
Sales Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
Salesperson,Counter and Rental Clerks and Parts Salespersons
Salesperson,Parts Salespersons
Salesperson,Retail Salespersons
Scientist,Agricultural and Food Scientists
Scientist,Animal Scientists
Scientist,Anthropologists and Archeologists
Scientist,Astronomers and Physicists
Scientist,Atmospheric and Space Scientists
Scientist,
Scientist,Biochemists and Biophysicists
Scientist,Biological Scientists
Scientist,"Biological Scientists, All Other"
Scientist,Chemists and Materials Scientists
Scientist,Chemical Technicians
Scientist,Chemists
Scientist,Chemists and Materials Scientists
Scientist,Computer and Information Research Scientists
Scientist,Conservation Scientists
Scientist,Conservation Scientists and Foresters
Scientist,Data Scientists
Scientist,Environmental Scientists and Geoscientists
Scientist,"Environmental Scientists and Specialists, Including Health"
Scientist,Epidemiologists
Scientist,Food Scientists and Technologists
Scientist,"Geoscientists, Except Hydrologists and Geographers"
Scientist,Hydrologists
Scientist,Life Scientists
Scientist,"Life Scientists, All Other"
Scientist,Materials Scientists
Scientist,Medical Scientists
Scientist,"Medical Scientists, Except Epidemiologists"
Scientist,Miscellaneous Life Scientists
Scientist,Miscellaneous Physical Scientists
Scientist,Miscellaneous Social Scientists and Related Workers
Scientist,Physical Scientists
Scientist,"Physical Scientists, All Other"
Scientist,Psychiatrists
Scientist,Psychologists
Scientist,"Psychologists, All Other"
Scientist,"Social Scientists and Related Workers, All Other"
Scientist,Sociologists
Scientist,Soil and Plant Scientists
Scientist,Zoologists and Wildlife Biologists
Software Engineer,"Software and Web Developers, Programmers, and Testers"
Software Engineer,Software Developers
Software Engineer,Software Quality Assurance Analysts and Testers
Teacher,"Agricultural Sciences Teachers, Postsecondary"
Teacher,"Anthropology and Archeology Teachers, Postsecondary"
Teacher,"Architecture Teachers, Postsecondary"
Teacher,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Teacher,"Art, Drama, and Music Teachers, Postsecondary"
Teacher,"Arts, Communications, History, and Humanities Teachers, Postsecondary"
Teacher,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
Teacher,"Biological Science Teachers, Postsecondary"
Teacher,"Business Teachers, Postsecondary"
Teacher,"Business Teachers, Postsecondary"
Teacher,"Career/Technical Education Teachers, Middle School"
Teacher,"Career/Technical Education Teachers, Postsecondary"
Teacher,"Career/Technical Education Teachers, Secondary School"
Teacher,"Chemistry Teachers, Postsecondary"
Teacher,"Communications Teachers, Postsecondary"
Teacher,"Computer Science Teachers, Postsecondary"
Teacher,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Teacher,"Economics Teachers, Postsecondary"
Teacher,"Education and Library Science Teachers, Postsecondary"
Teacher,"Education Teachers, Postsecondary"
Teacher,Elementary and Middle School Teachers
Teacher,"Elementary School Teachers, Except Special Education"
Teacher,"Engineering and Architecture Teachers, Postsecondary"
Teacher,"Engineering Teachers, Postsecondary"
Teacher,"English Language and Literature Teachers, Postsecondary"
Teacher,"Environmental Science Teachers, Postsecondary"
Teacher,"Family and Consumer Sciences Teachers, Postsecondary"
Teacher,"Foreign Language and Literature Teachers, Postsecondary"
Teacher,"Forestry and Conservation Science Teachers, Postsecondary"
Teacher,"Geography Teachers, Postsecondary"
Teacher,"Health Specialties Teachers, Postsecondary"
Teacher,"Health Teachers, Postsecondary"
Teacher,"History Teachers, Postsecondary"
Teacher,"Kindergarten Teachers, Except Special Education"
Teacher,"Law Teachers, Postsecondary"
Teacher,"Law, Criminal Justice, and Social Work Teachers, Postsecondary"
Teacher,"Library Science Teachers, Postsecondary"
Teacher,"Life Sciences Teachers, Postsecondary"
Teacher,"Math and Computer Science Teachers, Postsecondary"
Teacher,"Mathematical Science Teachers, Postsecondary"
Teacher,"Middle School Teachers, Except Special and Career/Technical Education"
Teacher,Miscellaneous Postsecondary Teachers
Teacher,Miscellaneous Teachers and Instructors
Teacher,"Nursing Instructors and Teachers, Postsecondary"
Teacher,Other Teachers and Instructors
Teacher,"Philosophy and Religion Teachers, Postsecondary"
Teacher,"Physical Sciences Teachers, Postsecondary"
Teacher,"Physics Teachers, Postsecondary"
Teacher,"Political Science Teachers, Postsecondary"
Teacher,Postsecondary Teachers
Teacher,"Postsecondary Teachers, All Other"
Teacher,Preschool and Kindergarten Teachers
Teacher,"Preschool Teachers, Except Special Education"
Teacher,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers"
Teacher,"Psychology Teachers, Postsecondary"
Teacher,"Recreation and Fitness Studies Teachers, Postsecondary"
Teacher,Secondary School Teachers
Teacher,"Secondary School Teachers, Except Special and Career/Technical Education"
Teacher,Self-Enrichment Teachers
Teacher,"Social Sciences Teachers, Postsecondary"
Teacher,"Social Sciences Teachers, Postsecondary, All Other"
Teacher,"Social Work Teachers, Postsecondary"
Teacher,"Sociology Teachers, Postsecondary"
Teacher,Special Education Teachers
Teacher,"Special Education Teachers, All Other"
Teacher,"Special Education Teachers, Kindergarten and Elementary School"
Teacher,"Special Education Teachers, Middle School"
Teacher,"Special Education Teachers, Preschool"
Teacher,"Special Education Teachers, Secondary School"
Teacher,"Substitute Teachers, Short-Term"
Teacher,"Teachers and Instructors, All Other"
Teacher,Tutors
